feature,lag,target,r
SO2,5,AQI_t+1,0.5182540184255776
SO2,5,AQI_t+2,0.5089736329172959
SO2,5,AQI_t+3,0.4976266547358422
SO2,6,AQI_t+1,0.5048476079997642
SO2,6,AQI_t+2,0.493784778093348
SO2,6,AQI_t+3,0.4854691831512183
SO2,7,AQI_t+1,0.4922406329633477
SO2,7,AQI_t+2,0.4840637756584644
SO2,7,AQI_t+3,0.481182328943529
O3,0,AQI_t+1,0.5286143792394977
O3,0,AQI_t+2,0.4405123576393471
O3,0,AQI_t+3,0.3796640729188745
O3,1,AQI_t+1,0.44078147129229994
O3,1,AQI_t+2,0.379915732712322
O3,1,AQI_t+3,0.3365445153445116
O3,2,AQI_t+1,0.3796926495439654
O3,2,AQI_t+2,0.336361209903125
O3,2,AQI_t+3,0.3049469642894741
O3,3,AQI_t+1,0.3363995495800145
O3,3,AQI_t+2,0.30498951739942665
O3,3,AQI_t+3,0.29271165630932316
O3,4,AQI_t+1,0.3052407289622433
O3,4,AQI_t+2,0.2929312049562295
O3,4,AQI_t+3,0.28980669262536685
O3,5,AQI_t+1,0.2921617408814572
O3,5,AQI_t+2,0.2891225406128784
O3,5,AQI_t+3,0.27794718591735457
O3,6,AQI_t+1,0.288544819953065
O3,6,AQI_t+2,0.2774411557174977
O3,6,AQI_t+3,0.2601302778813625
O3,7,AQI_t+1,0.2772169755163731
O3,7,AQI_t+2,0.2599404452550759
O3,7,AQI_t+3,0.25459132318225536
log_PM2_5,0,AQI_t+1,0.8953566046459874
log_PM2_5,0,AQI_t+2,0.687493853621446
log_PM2_5,0,AQI_t+3,0.563538557982984
log_PM2_5,1,AQI_t+1,0.687493853621446
log_PM2_5,1,AQI_t+2,0.563538557982984
log_PM2_5,1,AQI_t+3,0.4899488560611346
log_PM2_5,2,AQI_t+1,0.563538557982984
log_PM2_5,2,AQI_t+2,0.4899488560611346
log_PM2_5,2,AQI_t+3,0.46297304539652623
log_PM2_5,3,AQI_t+1,0.4899488560611346
log_PM2_5,3,AQI_t+2,0.46297304539652623
log_PM2_5,3,AQI_t+3,0.4542888080169648
log_PM2_5,4,AQI_t+1,0.46297304539652623
log_PM2_5,4,AQI_t+2,0.4542888080169648
log_PM2_5,4,AQI_t+3,0.43589232903846775
log_PM2_5,5,AQI_t+1,0.4542888080169648
log_PM2_5,5,AQI_t+2,0.43589232903846775
log_PM2_5,5,AQI_t+3,0.4119270827128442
log_PM2_5,6,AQI_t+1,0.43589232903846775
log_PM2_5,6,AQI_t+2,0.4119270827128442
log_PM2_5,6,AQI_t+3,0.3892172271225827
log_PM2_5,7,AQI_t+1,0.4119270827128442
log_PM2_5,7,AQI_t+2,0.3892172271225827
log_PM2_5,7,AQI_t+3,0.38269328382231704
log_CO,0,AQI_t+1,0.6690216460623938
log_CO,0,AQI_t+2,0.5723848589389722
log_CO,0,AQI_t+3,0.5211438400206548
log_CO,1,AQI_t+1,0.5723848589389722
log_CO,1,AQI_t+2,0.5211438400206548
log_CO,1,AQI_t+3,0.500814151164627
log_CO,2,AQI_t+1,0.5211438400206548
log_CO,2,AQI_t+2,0.500814151164627
log_CO,2,AQI_t+3,0.49949163113535444
log_CO,3,AQI_t+1,0.500814151164627
log_CO,3,AQI_t+2,0.49949163113535444
log_CO,3,AQI_t+3,0.49441830749574
log_CO,4,AQI_t+1,0.49949163113535444
log_CO,4,AQI_t+2,0.49441830749574
log_CO,4,AQI_t+3,0.4853277016511216
log_CO,5,AQI_t+1,0.49441830749574
log_CO,5,AQI_t+2,0.4853277016511216
log_CO,5,AQI_t+3,0.4756645608963802
log_CO,6,AQI_t+1,0.4853277016511216
log_CO,6,AQI_t+2,0.4756645608963802
log_CO,6,AQI_t+3,0.46870189402572493
log_CO,7,AQI_t+1,0.4756645608963802
log_CO,7,AQI_t+2,0.46870189402572493
log_CO,7,AQI_t+3,0.47113269825757687
Temperature,0,AQI_t+1,-0.44620418901100223
Temperature,0,AQI_t+2,-0.44784337639047034
Temperature,0,AQI_t+3,-0.4561474157493682
Temperature,1,AQI_t+1,-0.4479389559594597
Temperature,1,AQI_t+2,-0.45623358047951634
Temperature,1,AQI_t+3,-0.4597596057703641
Temperature,2,AQI_t+1,-0.4563290611314864
Temperature,2,AQI_t+2,-0.4598464579315847
Temperature,2,AQI_t+3,-0.4587047706615237
Temperature,3,AQI_t+1,-0.45992349125016646
Temperature,3,AQI_t+2,-0.45877723511546514
Temperature,3,AQI_t+3,-0.44871633539604794
Temperature,4,AQI_t+1,-0.4588597979565325
Temperature,4,AQI_t+2,-0.44879484718746027
Temperature,4,AQI_t+3,-0.43753365529504684
Temperature,5,AQI_t+1,-0.44886320137483543
Temperature,5,AQI_t+2,-0.43760041073007205
Temperature,5,AQI_t+3,-0.4367585376466329
Temperature,6,AQI_t+1,-0.43763793936642753
Temperature,6,AQI_t+2,-0.4367976945143494
Temperature,6,AQI_t+3,-0.44058682361468204
Temperature,7,AQI_t+1,-0.4369169821520367
Temperature,7,AQI_t+2,-0.44069299439417947
Temperature,7,AQI_t+3,-0.44230872205712013
Humidity,0,AQI_t+1,-0.4016266257788401
Humidity,0,AQI_t+2,-0.35468610748054435
Humidity,0,AQI_t+3,-0.3290499503326729
Humidity,1,AQI_t+1,-0.3550222309653627
Humidity,1,AQI_t+2,-0.32933929359921876
Humidity,1,AQI_t+3,-0.3257928999241767
Humidity,2,AQI_t+1,-0.3297007375358886
Humidity,2,AQI_t+2,-0.3260880130669244
Humidity,2,AQI_t+3,-0.3383100453070164
Humidity,3,AQI_t+1,-0.3264455176750506
Humidity,3,AQI_t+2,-0.33859191671048466
Humidity,3,AQI_t+3,-0.35546234525155973
Humidity,4,AQI_t+1,-0.3389388690426499
Humidity,4,AQI_t+2,-0.35573108677604
Humidity,4,AQI_t+3,-0.34391209424710145
Humidity,5,AQI_t+1,-0.3560339325548751
Humidity,5,AQI_t+2,-0.34416844934897173
Humidity,5,AQI_t+3,-0.3156027110526701
Humidity,6,AQI_t+1,-0.34450836834038684
Humidity,6,AQI_t+2,-0.3158986682209847
Humidity,6,AQI_t+3,-0.2917777883892864
Humidity,7,AQI_t+1,-0.31625383947949287
Humidity,7,AQI_t+2,-0.292086121984216
Humidity,7,AQI_t+3,-0.27662745067770406
Precipitation,0,AQI_t+1,
Precipitation,0,AQI_t+2,
Precipitation,0,AQI_t+3,
Precipitation,1,AQI_t+1,-0.017229897628036908
Precipitation,1,AQI_t+2,-0.015022863754459844
Precipitation,1,AQI_t+3,-0.014357457926955657
Precipitation,2,AQI_t+1,-0.022141088259594086
Precipitation,2,AQI_t+2,-0.019870635931891673
Precipitation,2,AQI_t+3,-0.018909307517885197
Precipitation,3,AQI_t+1,-0.025568423107723552
Precipitation,3,AQI_t+2,-0.02369989026194043
Precipitation,3,AQI_t+3,-0.02245000740384749
Precipitation,4,AQI_t+1,-0.028017790922280437
Precipitation,4,AQI_t+2,-0.02550343735242376
Precipitation,4,AQI_t+3,-0.023563114248985103
Precipitation,5,AQI_t+1,-0.029989325190305522
Precipitation,5,AQI_t+2,-0.027052643267936723
Precipitation,5,AQI_t+3,-0.024507642432641637
Precipitation,6,AQI_t+1,-0.031284057108474386
Precipitation,6,AQI_t+2,-0.028143407719885355
Precipitation,6,AQI_t+3,-0.0262243687297428
Precipitation,7,AQI_t+1,-0.030708217072530856
